country_code,country,year,fdi,fixed_broadband,government_education,hightech_exports,internet_users,manufacturing_value_added,patent_nonresident,patent_resident,rd_expenditure,researchers_rd,tertiary_enrolment
BRA,Brazil,2015,3.59214931791344,12.6353840484725,6.24105978012085,14.4858996246715,58.3279517340924,10.5209374571105,25578.0,4641.0,1.28464,,49.0805015563965
BRA,Brazil,2016,4.13737803865892,13.217709027651,6.31403017044067,16.0001642772964,60.8725400681261,10.7864511144495,22810.0,5200.0,1.19584,,48.9665794372559
BRA,Brazil,2017,3.33825981739039,14.1218273097456,6.32047986984253,14.3118892236086,67.4712845236305,10.7214980093214,20178.0,5480.0,1.1175,,50.7326316833496
BRA,Brazil,2018,4.07858821454947,15.1537620986579,6.08851003646851,14.7442418256611,70.4342825404361,10.5284573770078,19877.0,4980.0,1.15016,,52.05712890625
BRA,Brazil,2019,3.692673213156,15.8621991239093,5.96346998214722,14.0668052120423,73.9124399133589,10.3325005328998,19932.0,5464.0,1.15115,,53.6215400695801
BRA,Brazil,2020,2.59263795310275,17.418059685583,5.7714900970459,11.3500942678804,81.34269353,10.692931568332,19058.0,5280.0,1.21907,,55.529109954834
BRA,Brazil,2021,2.77979084938159,19.8363162401481,5.4969801902771,9.00155420026002,80.68989314,11.9043730112478,19566.0,4666.0,1.13371,,57.6311988830566
BRA,Brazil,2022,3.8680317970139,20.9534469027015,5.61920976638794,9.11134627987528,80.52775094,13.0740816282273,,,1.18873,,61.0000915527344
BRA,Brazil,2023,2.86383344298207,22.4192301618889,,9.849149349554,84.15060238,13.2531636224002,,,1.1938,,
BRA,Brazil,2024,3.38960808548439,24.079199344422,,11.1103644206652,84.46347227,12.1108065153855,,,,,69.7317733764648
BRA,Brazil,2025,3.40696865505948,,,,,11.7722632755736,,,,,
CHN,China,2000,3.43984725315719,0.00178484057941392,,,1.77591320677415,,26560.0,25346.0,0.88409,549.57477,7.57777976989746
CHN,China,2001,3.47245235578959,0.0262980690478576,,,2.63965021485872,,33412.0,30038.0,0.92948,582.78825,9.28069019317627
CHN,China,2002,3.56241418263928,0.256319449692495,,,4.59570433077551,,40426.0,39806.0,1.04418,631.73478,11.8050804138184
CHN,China,2003,3.43849537731211,0.866655839568114,,,6.2,,48548.0,56769.0,1.10465,667.9285,14.513970375061
CHN,China,2004,3.43299015092913,1.91533860283619,,,7.3,31.5101594673259,64598.0,65786.0,1.19732,713.42588,16.9004402160644
CHN,China,2005,4.49218509012467,2.85108597933654,,,8.52325700269541,31.6564574964127,79842.0,93485.0,1.29008,856.65892,18.6565208435059
CHN,China,2006,4.44499743873593,3.85818779891054,,,10.5231526193851,31.9945213596647,88183.0,122318.0,1.34923,931.20148,20.5667705535889
CHN,China,2007,4.33537500236917,5.00930152637401,,30.2374939097036,16.0,31.9005932714931,92101.0,153060.0,1.35321,1076.73747,21.4715595245361
CHN,China,2008,3.67520717506325,6.21365228211399,,29.4319344493349,22.6,31.6169791482305,95259.0,194579.0,1.4233,1197.58885,21.8667392730713
CHN,China,2009,2.52538984334254,7.74497137074886,,31.9775769727453,28.9,31.0611528606438,85508.0,229096.0,1.6366,861.24883,23.2886295318604
CHN,China,2010,3.93541996731512,9.34748427588032,,32.1501169663397,34.3,31.0748956423241,98111.0,293066.0,1.68456,898.85545,25.2883066277701
CHN,China,2011,3.65069190228423,11.504276685286,,30.5004796644425,38.3,31.5623565182378,110583.0,415829.0,1.75244,972.01743,26.7875039907406
CHN,China,2012,2.78099138181613,12.791553937217,,30.8618085179503,42.30009842,31.0143036500115,117464.0,535313.0,1.88095,1028.98334,29.3081906903292
CHN,China,2013,2.98598708261986,13.6989049026864,,31.5855813292794,45.79999924,30.1275021518721,120200.0,704936.0,1.96246,1079.63795,32.7191603158803
CHN,China,2014,2.51155883670463,14.4445199866037,,29.7037271802947,47.90000153,29.8300397890826,127042.0,801135.0,1.98475,1101.80087,43.7110051016854
CHN,China,2015,2.14957284731563,19.8437947555032,,30.4312672747562,50.29999924,28.3889960582852,133612.0,968252.0,2.01703,1162.7108,47.1192619330726
CHN,China,2016,1.52539470315394,22.9761329915729,,30.2545232296357,53.2,27.5237594259275,133522.0,1204981.0,2.0595,1208.86205,49.309077375597
CHN,China,2017,1.32468971748482,27.9101271418763,,30.9118639785891,54.3,27.5998559245177,135885.0,1245709.0,2.07771,1235.84935,51.0678812273407
CHN,China,2018,1.66361992284408,28.7089097131815,,31.5481478595353,65.35839844,27.34341880328,148187.0,1393815.0,2.10232,1317.48914,53.3987984572814
CHN,China,2019,1.28549226847992,31.5611222411202,,30.8186302968419,64.080881297515,26.2594662949297,157093.0,1243568.0,2.20144,1483.85803,56.6050917923292
CHN,China,2020,1.68770756292082,33.9069794578039,,31.2766154241293,70.05275998,25.5809804288007,152342.0,1344817.0,2.35712,1600.30633,61.6124675996947
CHN,China,2021,1.8903454142588,37.5611751315805,,30.2190732796596,73.05323517,26.621932558827,159019.0,1426644.0,2.38165,1685.97511,66.8186077597542
CHN,China,2022,1.03841365474349,41.3736197056022,,27.7650612563156,75.61131603,25.9806695043084,,,2.4945,1849.23669,71.5799465086024
CHN,China,2023,0.280991103634816,44.728886496649,3.89714002609253,26.5682136542881,90.6,25.0144267929987,,,2.57729,2107.27003,74.5933014618366
CHN,China,2024,0.227695125306895,47.1933952081567,,26.2777380479223,92.0,24.8415841892631,,,,,76.8757843123403
CHN,China,2025,0.410194399848574,,,,91.6,24.7344421687689,,,,,
IND,India,2000,0.765211694280817,,4.32480001449585,,0.527532449930946,15.9270230184323,6332.0,2206.0,0.75699,110.62568,9.93826007843018
IND,India,2001,1.05638020993358,0.00463865535771768,,,0.660146377009928,15.3070212831531,8213.0,2379.0,0.73591,,10.0273504257202
IND,India,2002,1.01156946489919,0.00750810600120237,,,1.53787558175083,15.5587017262956,8772.0,2693.0,0.72567,,10.5586500167847
IND,India,2003,0.605887857091792,0.0125681968302295,3.61342000961304,,1.68648997063625,15.587386648646,9188.0,3425.0,0.71929,,11.0576400756836
