country,year,hightech_exports_wits,source,indicator,note
South Korea,2017,32.546316460744,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2018,36.3912233579129,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2019,32.4050621736765,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2020,35.6022265413283,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2021,36.014503674486,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2022,36.118278931217,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2023,29.9769295422504,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2024,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2025,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2000,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2001,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2002,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2003,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2004,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2005,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2006,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2007,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2008,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2009,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2010,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2011,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2012,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2013,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2014,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2015,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2016,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2017,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2018,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2019,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2020,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2021,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2022,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2023,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2024,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Taiwan,2025,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
